ssid,signal,akm,freq
ASUS D19-226,-75.0,[4],2472000.0
Libig,-55.0,[4],2472000.0
TP-LINK_21B6,-79.0,[4],2467000.0
dorm228,-63.0,[4],2467000.0
TP-LINK_205,-74.0,[4],2462000.0
Dorm 328,-74.0,[4],2462000.0
D19_208,-51.0,[4],2462000.0
ASUS-427,-86.0,[4],2457000.0
wcnmlsn,-69.0,[4],2457000.0
TP-LINK_F6EA,-74.0,[4],2437000.0
TP-LINK_A108,-71.0,[4],2437000.0
dorm-227,-58.0,[4],2437000.0
d19-225,-71.0,[4],2412000.0
PDCN,-77.0,[4],2412000.0
TP-LINK_0D1B,-73.0,[4],2412000.0
124,-74.0,[4],2412000.0
Dorm327,-69.0,[4],2412000.0
207,-59.0,[4],2412000.0
,,,
TP-LINK_21B6,-79.0,[4],2467000.0
dorm228,-63.0,[4],2467000.0
TP-LINK_205,-74.0,[4],2462000.0
Dorm 328,-74.0,[4],2462000.0
D19_208,-51.0,[4],2462000.0
ASUS-427,-86.0,[4],2457000.0
wcnmlsn,-69.0,[4],2457000.0
TP-LINK_F6EA,-74.0,[4],2437000.0
TP-LINK_A108,-71.0,[4],2437000.0
dorm-227,-58.0,[4],2437000.0
d19-225,-71.0,[4],2412000.0
PDCN,-77.0,[4],2412000.0
TP-LINK_0D1B,-73.0,[4],2412000.0
124,-74.0,[4],2412000.0
Dorm327,-69.0,[4],2412000.0
207,-59.0,[4],2412000.0
,,,
Libig,-67.0,[4],2472000.0
206,-88.0,[4],2472000.0
210,-85.0,[4],2462000.0
TP-LINK_6FAB,-80.0,[4],2462000.0
wcnmlsn,-65.0,[4],2457000.0
dorm-227,-60.0,[4],2437000.0
TP-LINK_2B3E,-72.0,[4],2437000.0
TP-LINK_A108,-70.0,[4],2437000.0
zuishuaiqinshi,-84.0,[4],2412000.0
d19-225,-75.0,[4],2412000.0
PDCN,-69.0,[4],2412000.0
TP-LINK_718C,-77.0,[4],2412000.0
207,-62.0,[4],2412000.0
,,,
210,-85.0,[4],2462000.0
TP-LINK_6FAB,-80.0,[4],2462000.0
wcnmlsn,-65.0,[4],2457000.0
dorm-227,-60.0,[4],2437000.0
TP-LINK_2B3E,-72.0,[4],2437000.0
TP-LINK_A108,-70.0,[4],2437000.0
zuishuaiqinshi,-84.0,[4],2412000.0
d19-225,-75.0,[4],2412000.0
PDCN,-69.0,[4],2412000.0
TP-LINK_718C,-77.0,[4],2412000.0
207,-62.0,[4],2412000.0
,,,
ASUS D19-226,-71.0,[4],2472000.0
Libig,-74.0,[4],2472000.0
D19_208,-48.0,[4],2462000.0
508é«å±ä¼è®®,-83.0,[4],2437000.0
TP-LINK_3563,-84.0,[4],2437000.0
TP-LINK_359E,-72.0,[4],2437000.0
