ssid,signal,akm,freq
MERCURY_B45A,-49.0,[4],2437000.0
TP-LINK_F6EA,-71.0,[4],2437000.0
126,-74.0,[4],2432000.0
ASUS112,-72.0,[4],2417000.0
124,-80.0,[4],2412000.0
LTE-WiFi_7191,-78.0,[4],2412000.0
TP-LINK 215,-73.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-78.0,[4],2412000.0
TP-LINK_718C,-82.0,[4],2412000.0
115è½¦é,-81.0,[4],2412000.0
TP-LINK_D22A,-75.0,[4],2412000.0
,,,
Dorm_110,-80.0,[4],2472000.0
117,-90.0,[4],2472000.0
214 ,-64.0,[4],2472000.0
128çwifi,-76.0,[4],2467000.0
D19_238,-86.0,[4],2462000.0
lmsz,-86.0,[4],2462000.0
113B,-85.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
TP-LINK_F6EA,-71.0,[4],2437000.0
TP-LINK_EF05,-83.0,[4],2437000.0
D19_213,-85.0,[4],2432000.0
126,-82.0,[4],2432000.0
D19-314,-73.0,[4],2422000.0
ASUS112,-71.0,[4],2417000.0
TP-LINK_D22A,-86.0,[4],2412000.0
LTE-WiFi_7191,-78.0,[4],2412000.0
TP-LINK_718C,-82.0,[4],2412000.0
,,,
128çwifi,-76.0,[4],2467000.0
D19_238,-86.0,[4],2462000.0
lmsz,-86.0,[4],2462000.0
113B,-85.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
TP-LINK_F6EA,-71.0,[4],2437000.0
TP-LINK_EF05,-83.0,[4],2437000.0
D19_213,-85.0,[4],2432000.0
126,-82.0,[4],2432000.0
D19-314,-73.0,[4],2422000.0
ASUS112,-71.0,[4],2417000.0
TP-LINK_D22A,-86.0,[4],2412000.0
LTE-WiFi_7191,-78.0,[4],2412000.0
TP-LINK_718C,-82.0,[4],2412000.0
,,,
126,-87.0,[4],5180000.0
126,-82.0,[4],2432000.0
214 ,-62.0,[4],2472000.0
128çwifi,-75.0,[4],2467000.0
113B,-77.0,[4],2462000.0
D19-117,-89.0,[4],2462000.0
lmsz,-80.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
zzberserker,-82.0,[4],2452000.0
,-89.0,[4],2437000.0
TP-LINK_EF05,-80.0,[4],2437000.0
MERCURY_B45A,-48.0,[4],2437000.0
TP-LINK_F6EA,-68.0,[4],2437000.0
D19_213,-77.0,[4],2432000.0
D19-314,-72.0,[4],2422000.0
330,-87.0,[4],2422000.0
TP-LINK_D22A,-86.0,[4],2412000.0
124,-78.0,[4],2412000.0
21666!,-82.0,[4],2412000.0
TP-LINK 215,-76.0,[4],2412000.0
LTE-WiFi_7191,-73.0,[4],2412000.0
,,,
TP-LINK_EF05,-80.0,[4],2437000.0
MERCURY_B45A,-48.0,[4],2437000.0
TP-LINK_F6EA,-68.0,[4],2437000.0
D19_213,-77.0,[4],2432000.0
126,-82.0,[4],2432000.0
D19-314,-72.0,[4],2422000.0
330,-87.0,[4],2422000.0
TP-LINK_D22A,-86.0,[4],2412000.0
124,-78.0,[4],2412000.0
21666!,-82.0,[4],2412000.0
TP-LINK 215,-76.0,[4],2412000.0
LTE-WiFi_7191,-73.0,[4],2412000.0
,,,
Dorm_110,-80.0,[4],2472000.0
117,-82.0,[4],2472000.0
214 ,-60.0,[4],2472000.0
TP-LINK_21B6,-86.0,[4],2467000.0
128çwifi,-77.0,[4],2467000.0
lmsz,-78.0,[4],2462000.0
113B,-78.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
231,-83.0,[4],2457000.0
d19-233,-91.0,[4],2447000.0
dorm-227,-87.0,[4],2437000.0
310,-90.0,[4],2437000.0
MERCURY_B45A,-52.0,[4],2437000.0
D19-314,-72.0,[4],2422000.0
ASUS112,-67.0,[4],2417000.0
TP-LINK_D22A,-77.0,[4],2412000.0
LTE-WiFi_7191,-68.0,[4],2412000.0
,,,
TP-LINK_21B6,-86.0,[4],2467000.0
128çwifi,-77.0,[4],2467000.0
lmsz,-78.0,[4],2462000.0
113B,-78.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
231,-83.0,[4],2457000.0
d19-233,-91.0,[4],2447000.0
dorm-227,-87.0,[4],2437000.0
310,-90.0,[4],2437000.0
MERCURY_B45A,-52.0,[4],2437000.0
D19-314,-72.0,[4],2422000.0
ASUS112,-67.0,[4],2417000.0
TP-LINK_D22A,-77.0,[4],2412000.0
LTE-WiFi_7191,-68.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-90.0,[4],2472000.0
TP-LINK_FF8A,-91.0,[4],2472000.0
dorm228,-84.0,[4],2467000.0
128çwifi,-77.0,[4],2467000.0
lmsz,-81.0,[4],2462000.0
TP-LINK_6FAB,-86.0,[4],2462000.0
D19_238,-85.0,[4],2462000.0
TP-LINK_32AD,-58.0,[4],2462000.0
zzberserker,-74.0,[4],2452000.0
TP-LINK_EF05,-84.0,[4],2437000.0
MERCURY_B45A,-55.0,[4],2437000.0
D19_213,-81.0,[4],2432000.0
126,-80.0,[4],2432000.0
D19-314,-79.0,[4],2422000.0
ASUS112,-72.0,[4],2417000.0
TP-LINK_D22A,-81.0,[4],2412000.0
PDCN,-87.0,[4],2412000.0
124,-76.0,[4],2412000.0
TP-LINK 215,-84.0,[4],2412000.0
LTE-WiFi_7191,-77.0,[4],2412000.0
,,,
MERCURY_B45A,-55.0,[4],2437000.0
D19_213,-81.0,[4],2432000.0
126,-80.0,[4],2432000.0
D19-314,-79.0,[4],2422000.0
ASUS112,-72.0,[4],2417000.0
TP-LINK_D22A,-81.0,[4],2412000.0
PDCN,-87.0,[4],2412000.0
124,-76.0,[4],2412000.0
TP-LINK 215,-84.0,[4],2412000.0
LTE-WiFi_7191,-77.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-88.0,[4],2472000.0
214 ,-63.0,[4],2472000.0
128çwifi,-78.0,[4],2467000.0
TP-LINK_6FAB,-90.0,[4],2462000.0
D19-117,-85.0,[4],2462000.0
TP-LINK_32AD,-58.0,[4],2462000.0
231,-87.0,[4],2457000.0
d19-233,-92.0,[4],2447000.0
MERCURY_B45A,-48.0,[4],2437000.0
TP-LINK_F6EA,-68.0,[4],2437000.0
dorm-227,-88.0,[4],2437000.0
126,-85.0,[4],2432000.0
CMCC,-85.0,[4],2432000.0
ASUS112,-69.0,[4],2417000.0
TP-LINK 215,-82.0,[4],2412000.0
115è½¦é,-81.0,[4],2412000.0
TP-LINK_718C,-79.0,[4],2412000.0
LTE-WiFi_7191,-76.0,[4],2412000.0
,,,
d19-233,-92.0,[4],2447000.0
MERCURY_B45A,-48.0,[4],2437000.0
TP-LINK_F6EA,-68.0,[4],2437000.0
dorm-227,-88.0,[4],2437000.0
126,-85.0,[4],2432000.0
CMCC,-85.0,[4],2432000.0
ASUS112,-69.0,[4],2417000.0
TP-LINK 215,-82.0,[4],2412000.0
115è½¦é,-81.0,[4],2412000.0
TP-LINK_718C,-79.0,[4],2412000.0
LTE-WiFi_7191,-76.0,[4],2412000.0
,,,
126,-83.0,[4],5180000.0
126,-78.0,[4],2432000.0
ä½ ç¸ç¸,-87.0,[4],2472000.0
Dorm_110,-79.0,[4],2472000.0
214 ,-65.0,[4],2472000.0
TP-LINK_21B6,-88.0,[4],2467000.0
128çwifi,-75.0,[4],2467000.0
ASUS-429,-92.0,[4],2462000.0
lmsz,-80.0,[4],2462000.0
TP-LINK_32AD,-61.0,[4],2462000.0
113B,-79.0,[4],2462000.0
d19-233,-91.0,[4],2447000.0
D19-118,-86.0,[4],2442000.0
332fuck,-91.0,[4],2442000.0
MERCURY_B45A,-57.0,[4],2437000.0
TP-LINK_F6EA,-68.0,[4],2437000.0
dorm-227,-88.0,[4],2437000.0
D19-314,-70.0,[4],2422000.0
ASUS112,-74.0,[4],2417000.0
21666!,-82.0,[4],2412000.0
115è½¦é,-80.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-77.0,[4],2412000.0
TP-LINK_D22A,-80.0,[4],2412000.0
LTE-WiFi_7191,-75.0,[4],2412000.0
,,,
MERCURY_B45A,-57.0,[4],2437000.0
TP-LINK_F6EA,-68.0,[4],2437000.0
dorm-227,-88.0,[4],2437000.0
126,-78.0,[4],2432000.0
D19-314,-70.0,[4],2422000.0
ASUS112,-74.0,[4],2417000.0
21666!,-82.0,[4],2412000.0
115è½¦é,-80.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-77.0,[4],2412000.0
TP-LINK_D22A,-80.0,[4],2412000.0
LTE-WiFi_7191,-75.0,[4],2412000.0
,,,
Dorm_110,-72.0,[4],2472000.0
214 ,-60.0,[4],2472000.0
D19_238,-87.0,[4],2462000.0
113B,-79.0,[4],2462000.0
TP-LINK_32AD,-55.0,[4],2462000.0
sjtu218,-88.0,[4],2437000.0
TP-LINK_F6EA,-67.0,[4],2437000.0
126,-81.0,[4],2432000.0
D19_213,-83.0,[4],2432000.0
TP-LINK_D22A,-77.0,[4],2412000.0
LTE-WiFi_7191,-71.0,[4],2412000.0
,,,
117,-87.0,[4],2472000.0
ä½ ç¸ç¸,-86.0,[4],2472000.0
214 ,-64.0,[4],2472000.0
128çwifi,-76.0,[4],2467000.0
D19_238,-89.0,[4],2462000.0
lmsz,-75.0,[4],2462000.0
113B,-75.0,[4],2462000.0
TP-LINK_32AD,-59.0,[4],2462000.0
d19-233,-89.0,[4],2447000.0
TP-LINK_EF05,-83.0,[4],2437000.0
MERCURY_B45A,-47.0,[4],2437000.0
TP-LINK_F6EA,-66.0,[4],2437000.0
D19_213,-84.0,[4],2432000.0
126,-75.0,[4],2432000.0
D19-314,-75.0,[4],2422000.0
ASUS112,-74.0,[4],2417000.0
124,-81.0,[4],2412000.0
LTE-WiFi_7191,-73.0,[4],2412000.0
,,,
d19-233,-89.0,[4],2447000.0
TP-LINK_EF05,-83.0,[4],2437000.0
MERCURY_B45A,-47.0,[4],2437000.0
TP-LINK_F6EA,-66.0,[4],2437000.0
D19_213,-84.0,[4],2432000.0
126,-75.0,[4],2432000.0
D19-314,-75.0,[4],2422000.0
ASUS112,-74.0,[4],2417000.0
124,-81.0,[4],2412000.0
LTE-WiFi_7191,-73.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-88.0,[4],2472000.0
214 ,-73.0,[4],2472000.0
Dorm_110,-79.0,[4],2472000.0
128çwifi,-76.0,[4],2467000.0
TP-LINK_6FAB,-88.0,[4],2462000.0
lmsz,-85.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
113B,-83.0,[4],2462000.0
231,-89.0,[4],2457000.0
D19-118,-87.0,[4],2442000.0
MERCURY_B45A,-48.0,[4],2437000.0
TP-LINK_EF05,-79.0,[4],2437000.0
126,-75.0,[4],2432000.0
D19-314,-76.0,[4],2422000.0
ASUS112,-66.0,[4],2417000.0
124,-79.0,[4],2412000.0
211,-80.0,[4],2412000.0
TP-LINK 215,-73.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-74.0,[4],2412000.0
TP-LINK_555E,-87.0,[4],2412000.0
LTE-WiFi_7191,-74.0,[4],2412000.0
,,,
D19-118,-87.0,[4],2442000.0
MERCURY_B45A,-48.0,[4],2437000.0
TP-LINK_EF05,-79.0,[4],2437000.0
126,-75.0,[4],2432000.0
D19-314,-76.0,[4],2422000.0
ASUS112,-66.0,[4],2417000.0
124,-79.0,[4],2412000.0
211,-80.0,[4],2412000.0
TP-LINK 215,-73.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-74.0,[4],2412000.0
TP-LINK_555E,-87.0,[4],2412000.0
LTE-WiFi_7191,-74.0,[4],2412000.0
,,,
Dorm_110,-79.0,[4],2472000.0
117,-90.0,[4],2472000.0
lmsz,-78.0,[4],2462000.0
TP-LINK_32AD,-62.0,[4],2462000.0
zzberserker,-62.0,[4],2452000.0
sjtu218,-87.0,[4],2437000.0
TP-LINK_F6EA,-65.0,[4],2437000.0
MERCURY_B45A,-48.0,[4],2437000.0
126,-77.0,[4],2432000.0
313ä¸ç¨,-84.0,[4],2417000.0
ASUS112,-70.0,[4],2417000.0
TP-LINK 215,-82.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-76.0,[4],2412000.0
LTE-WiFi_7191,-77.0,[4],2412000.0
,,,
lmsz,-78.0,[4],2462000.0
