ssid,signal,akm,freq
TP-LINK 215,-77.0,[4],5220000.0
TP-LINK 215,-61.0,[4],2412000.0
214 ,-57.0,[4],2472000.0
TP-LINK_32AD,-74.0,[4],2462000.0
D19_238,-66.0,[4],2462000.0
TP-LINK_xczz,-73.0,[4],2447000.0
dorm-227,-76.0,[4],2437000.0
414,-81.0,[4],2437000.0
sjtu218,-83.0,[4],2437000.0
TP-LINK_F6EA,-57.0,[4],2437000.0
D19_213,-67.0,[4],2432000.0
330,-80.0,[4],2422000.0
D19-314,-53.0,[4],2422000.0
ASUS112,-85.0,[4],2417000.0
313ä¸ç¨,-77.0,[4],2417000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-70.0,[4],2412000.0
TP-LINK_555E,-79.0,[4],2412000.0
211,-81.0,[4],2412000.0
,,,
dorm-227,-76.0,[4],2437000.0
414,-81.0,[4],2437000.0
sjtu218,-83.0,[4],2437000.0
TP-LINK_F6EA,-57.0,[4],2437000.0
D19_213,-67.0,[4],2432000.0
330,-80.0,[4],2422000.0
D19-314,-53.0,[4],2422000.0
ASUS112,-85.0,[4],2417000.0
313ä¸ç¨,-77.0,[4],2417000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-70.0,[4],2412000.0
TP-LINK_555E,-79.0,[4],2412000.0
211,-81.0,[4],2412000.0
TP-LINK 215,-61.0,[4],2412000.0
,,,
214 ,-59.0,[4],2472000.0
D19-316,-76.0,[4],2462000.0
TP-LINK_32AD,-69.0,[4],2462000.0
TP-LINK_xczz,-79.0,[4],2447000.0
dorm-227,-79.0,[4],2437000.0
414,-80.0,[4],2437000.0
MERCURY_B45A,-69.0,[4],2437000.0
TP-LINK_F6EA,-57.0,[4],2437000.0
D19_213,-66.0,[4],2432000.0
330,-76.0,[4],2422000.0
D19-314,-56.0,[4],2422000.0
D19-415,-79.0,[4],2412000.0
TP-LINK 215,-60.0,[4],2412000.0
21666!,-75.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-57.0,[4],2412000.0
,,,
TP-LINK_xczz,-79.0,[4],2447000.0
dorm-227,-79.0,[4],2437000.0
414,-80.0,[4],2437000.0
MERCURY_B45A,-69.0,[4],2437000.0
TP-LINK_F6EA,-57.0,[4],2437000.0
D19_213,-66.0,[4],2432000.0
330,-76.0,[4],2422000.0
D19-314,-56.0,[4],2422000.0
D19-415,-79.0,[4],2412000.0
TP-LINK 215,-60.0,[4],2412000.0
21666!,-75.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-57.0,[4],2412000.0
,,,
TP-LINK 215,-78.0,[4],5220000.0
TP-LINK 215,-62.0,[4],2412000.0
214 ,-56.0,[4],2472000.0
D19_238,-64.0,[4],2462000.0
231,-76.0,[4],2457000.0
TP-LINK_xczz,-77.0,[4],2447000.0
332fuck,-85.0,[4],2442000.0
TP-LAN,-86.0,[4],2437000.0
414,-70.0,[4],2437000.0
sjtu218,-77.0,[4],2437000.0
TP-LINK_F6EA,-60.0,[4],2437000.0
dorm-227,-80.0,[4],2437000.0
D19_213,-64.0,[4],2432000.0
330,-75.0,[4],2422000.0
D19-314,-57.0,[4],2422000.0
D19-234,-73.0,[4],2417000.0
313ä¸ç¨,-76.0,[4],2417000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-57.0,[4],2412000.0
211,-82.0,[4],2412000.0
,,,
TP-LAN,-86.0,[4],2437000.0
414,-70.0,[4],2437000.0
sjtu218,-77.0,[4],2437000.0
TP-LINK_F6EA,-60.0,[4],2437000.0
dorm-227,-80.0,[4],2437000.0
D19_213,-64.0,[4],2432000.0
330,-75.0,[4],2422000.0
D19-314,-57.0,[4],2422000.0
D19-234,-73.0,[4],2417000.0
313ä¸ç¨,-76.0,[4],2417000.0
TP-LINK 215,-62.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-57.0,[4],2412000.0
211,-82.0,[4],2412000.0
,,,
TP-LINK 215,-75.0,[4],5220000.0
TP-LINK 215,-56.0,[4],2412000.0
TP-LINK_FF8A,-75.0,[4],2472000.0
214 ,-69.0,[4],2472000.0
312,-86.0,[4],2467000.0
TP-LINK_21B6,-69.0,[4],2467000.0
D19_238,-70.0,[4],2462000.0
wcnmlsn,-80.0,[4],2457000.0
231,-80.0,[4],2457000.0
dorm529,-84.0,[4],2437000.0
TP-LAN,-85.0,[4],2437000.0
TP-LINK_F6EA,-59.0,[4],2437000.0
TP-LINK_555E,-78.0,[4],2412000.0
ruoniao331,-74.0,[4],2412000.0
lswä¸çº¿,-81.0,[4],2412000.0
Dorm327,-86.0,[4],2412000.0
413,-88.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-57.0,[4],2412000.0
,,,
dorm529,-84.0,[4],2437000.0
TP-LAN,-85.0,[4],2437000.0
TP-LINK_F6EA,-59.0,[4],2437000.0
TP-LINK_555E,-78.0,[4],2412000.0
ruoniao331,-74.0,[4],2412000.0
lswä¸çº¿,-81.0,[4],2412000.0
TP-LINK 215,-56.0,[4],2412000.0
Dorm327,-86.0,[4],2412000.0
413,-88.0,[4],2412000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-57.0,[4],2412000.0
,,,
TP-LINK 215,-76.0,[4],5220000.0
220,-88.0,[4],2472000.0
214 ,-73.0,[4],2472000.0
TP-LINK_32AD,-78.0,[4],2462000.0
D19_238,-70.0,[4],2462000.0
231,-72.0,[4],2457000.0
TP-LINK_xczz,-78.0,[4],2447000.0
332fuck,-83.0,[4],2442000.0
414,-84.0,[4],2437000.0
sjtu218,-79.0,[4],2437000.0
MERCURY_B45A,-72.0,[4],2437000.0
TP-LINK_F6EA,-56.0,[4],2437000.0
D19_213,-69.0,[4],2432000.0
330,-76.0,[4],2422000.0
