ssid,signal,akm,freq
214 ,-85.0,[4],2472000.0
ä½ ç¸ç¸,-75.0,[4],2472000.0
430,-81.0,[4],2467000.0
Dorm 328,-82.0,[4],2462000.0
TP-LINK_32AD,-55.0,[4],2462000.0
231,-69.0,[4],2457000.0
MERCURY_B45A,-87.0,[4],2437000.0
dough,-85.0,[4],2437000.0
TP-LINK_F6EA,-46.0,[4],2437000.0
dorm529,-74.0,[4],2437000.0
yyyyy,-87.0,[4],2432000.0
330,-60.0,[4],2422000.0
TP-LINK_555E,-75.0,[4],2412000.0
,,,
430,-81.0,[4],2467000.0
Dorm 328,-82.0,[4],2462000.0
TP-LINK_32AD,-55.0,[4],2462000.0
231,-69.0,[4],2457000.0
MERCURY_B45A,-87.0,[4],2437000.0
dough,-85.0,[4],2437000.0
TP-LINK_F6EA,-46.0,[4],2437000.0
dorm529,-74.0,[4],2437000.0
yyyyy,-87.0,[4],2432000.0
330,-60.0,[4],2422000.0
TP-LINK_555E,-75.0,[4],2412000.0
,,,
TP-LINK_F6EA,-67.0,[4],5745000.0
TP-LINK_F6EA,-42.0,[4],2437000.0
TP-LINK_FF8A,-70.0,[4],2472000.0
Dorm_110,-86.0,[4],2472000.0
ä½ ç¸ç¸,-65.0,[4],2472000.0
dorm228,-80.0,[4],2467000.0
TP-LINK_32AD,-51.0,[4],2462000.0
231,-63.0,[4],2457000.0
126,-72.0,[4],2432000.0
ruoniao331,-68.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-67.0,[4],2472000.0
TP-LINK_FF8A,-66.0,[4],2472000.0
128çwifi,-83.0,[4],2467000.0
Dorm 328,-81.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
231,-68.0,[4],2457000.0
dorm529,-73.0,[4],2437000.0
TP-LINK_F6EA,-40.0,[4],2437000.0
330,-65.0,[4],2422000.0
Viva La Vida,-74.0,[4],2417000.0
ruoniao331,-73.0,[4],2412000.0
TP-LINK_D22A,-75.0,[4],2412000.0
,,,
128çwifi,-83.0,[4],2467000.0
Dorm 328,-81.0,[4],2462000.0
TP-LINK_32AD,-54.0,[4],2462000.0
231,-68.0,[4],2457000.0
dorm529,-73.0,[4],2437000.0
TP-LINK_F6EA,-40.0,[4],2437000.0
330,-65.0,[4],2422000.0
Viva La Vida,-74.0,[4],2417000.0
ruoniao331,-73.0,[4],2412000.0
TP-LINK_D22A,-75.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-65.0,[4],2472000.0
TP-LINK_21B6,-73.0,[4],2467000.0
231,-65.0,[4],2457000.0
dough,-88.0,[4],2437000.0
d19-122,-87.0,[4],2437000.0
dorm529,-73.0,[4],2437000.0
TP-LINK_F6EA,-38.0,[4],2437000.0
yyyyy,-88.0,[4],2432000.0
,-88.0,[0],2432000.0
330,-68.0,[4],2422000.0
Viva La Vida,-78.0,[4],2417000.0
D19-530,-83.0,[4],2412000.0
TP-LINK_D22A,-77.0,[4],2412000.0
,,,
dough,-88.0,[4],2437000.0
d19-122,-87.0,[4],2437000.0
dorm529,-73.0,[4],2437000.0
TP-LINK_F6EA,-38.0,[4],2437000.0
yyyyy,-88.0,[4],2432000.0
,-88.0,[0],2432000.0
330,-68.0,[4],2422000.0
Viva La Vida,-78.0,[4],2417000.0
D19-530,-83.0,[4],2412000.0
TP-LINK_D22A,-77.0,[4],2412000.0
,,,
TP-LINK_FF8A,-74.0,[4],2472000.0
430,-72.0,[4],2467000.0
TP-LINK_32AD,-50.0,[4],2462000.0
231,-67.0,[4],2457000.0
310,-90.0,[4],2437000.0
dough,-74.0,[4],2437000.0
TP-LINK_F6EA,-67.0,[4],5745000.0
TP-LINK_F6EA,-47.0,[4],2437000.0
126,-78.0,[4],2432000.0
D19_213,-69.0,[4],2432000.0
D19-314,-82.0,[4],2422000.0
330,-68.0,[4],2422000.0
,,,
430,-72.0,[4],2467000.0
TP-LINK_32AD,-50.0,[4],2462000.0
231,-67.0,[4],2457000.0
310,-90.0,[4],2437000.0
dough,-74.0,[4],2437000.0
TP-LINK_F6EA,-47.0,[4],2437000.0
126,-78.0,[4],2432000.0
D19_213,-69.0,[4],2432000.0
D19-314,-82.0,[4],2422000.0
330,-68.0,[4],2422000.0
,,,
TP-LINK_F6EA,-67.0,[4],5745000.0
TP-LINK_F6EA,-41.0,[4],2437000.0
214 ,-81.0,[4],2472000.0
TP-LINK_FF8A,-70.0,[4],2472000.0
ä½ ç¸ç¸,-59.0,[4],2472000.0
Dorm 328,-79.0,[4],2462000.0
TP-LINK_32AD,-48.0,[4],2462000.0
dorm528,-84.0,[4],2437000.0
D19_213,-71.0,[4],2432000.0
126,-77.0,[4],2432000.0
330,-66.0,[4],2422000.0
Viva La Vida,-78.0,[4],2417000.0
ruoniao331,-71.0,[4],2412000.0
TP-LINK 215,-78.0,[4],2412000.0
,,,
214 ,-81.0,[4],2472000.0
TP-LINK_FF8A,-70.0,[4],2472000.0
ä½ ç¸ç¸,-59.0,[4],2472000.0
Dorm 328,-79.0,[4],2462000.0
TP-LINK_32AD,-48.0,[4],2462000.0
dorm528,-84.0,[4],2437000.0
TP-LINK_F6EA,-41.0,[4],2437000.0
D19_213,-71.0,[4],2432000.0
126,-77.0,[4],2432000.0
330,-66.0,[4],2422000.0
Viva La Vida,-78.0,[4],2417000.0
ruoniao331,-71.0,[4],2412000.0
TP-LINK 215,-78.0,[4],2412000.0
,,,
TP-LINK_FF8A,-77.0,[4],2472000.0
ä½ ç¸ç¸,-73.0,[4],2472000.0
