ssid,signal,akm,freq
D19_213,-64.0,[4],2432000.0
313ä¸ç¨,-72.0,[4],2417000.0
TP-LINK_555E,-69.0,[4],2412000.0
TP-LINK 215,-74.0,[4],2412000.0
211,-56.0,[4],2412000.0
,,,
TP-LINK_21B6,-62.0,[4],2467000.0
dorm228,-82.0,[4],2467000.0
D19_238,-80.0,[4],2462000.0
TP-LINK_32AD,-64.0,[4],2462000.0
dorm-227,-72.0,[4],2437000.0
MERCURY_B45A,-80.0,[4],2437000.0
TP-LINK_F6EA,-50.0,[4],2437000.0
D19_213,-64.0,[4],2432000.0
313ä¸ç¨,-72.0,[4],2417000.0
TP-LINK_555E,-69.0,[4],2412000.0
TP-LINK 215,-74.0,[4],2412000.0
211,-56.0,[4],2412000.0
,,,
TP-LINK_F6EA,-83.0,[4],5745000.0
TP-LINK_F6EA,-59.0,[4],2437000.0
214 ,-74.0,[4],2472000.0
312,-81.0,[4],2467000.0
TP-LINK_21B6,-53.0,[4],2467000.0
D19_208,-78.0,[4],2462000.0
TP-LINK_32AD,-75.0,[4],2462000.0
dorm-227,-72.0,[4],2437000.0
D19_213,-65.0,[4],2432000.0
D19-314,-71.0,[4],2422000.0
Viva La Vida,-64.0,[4],2417000.0
ruoniao331,-74.0,[4],2412000.0
TP-LINK 215,-69.0,[4],2412000.0
211,-66.0,[4],2412000.0
TP-LINK_555E,-66.0,[4],2412000.0
,,,
312,-81.0,[4],2467000.0
TP-LINK_21B6,-53.0,[4],2467000.0
D19_208,-78.0,[4],2462000.0
TP-LINK_32AD,-75.0,[4],2462000.0
TP-LINK_F6EA,-59.0,[4],2437000.0
dorm-227,-72.0,[4],2437000.0
D19_213,-65.0,[4],2432000.0
D19-314,-71.0,[4],2422000.0
Viva La Vida,-64.0,[4],2417000.0
ruoniao331,-74.0,[4],2412000.0
TP-LINK 215,-69.0,[4],2412000.0
211,-66.0,[4],2412000.0
TP-LINK_555E,-66.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-74.0,[4],2472000.0
430,-75.0,[4],2467000.0
TP-LINK_21B6,-55.0,[4],2467000.0
D19_208,-78.0,[4],2462000.0
TP-LINK_32AD,-68.0,[4],2462000.0
D19_238,-73.0,[4],2462000.0
dorm-227,-71.0,[4],2437000.0
D19_213,-65.0,[4],2432000.0
330,-69.0,[4],2422000.0
D19-314,-71.0,[4],2422000.0
Viva La Vida,-69.0,[4],2417000.0
TP-LINK_555E,-65.0,[4],2412000.0
207,-73.0,[4],2412000.0
TP-LINK 215,-71.0,[4],2412000.0
211,-65.0,[4],2412000.0
,,,
430,-75.0,[4],2467000.0
TP-LINK_21B6,-55.0,[4],2467000.0
D19_208,-78.0,[4],2462000.0
TP-LINK_32AD,-68.0,[4],2462000.0
D19_238,-73.0,[4],2462000.0
dorm-227,-71.0,[4],2437000.0
D19_213,-65.0,[4],2432000.0
330,-69.0,[4],2422000.0
D19-314,-71.0,[4],2422000.0
Viva La Vida,-69.0,[4],2417000.0
TP-LINK_555E,-65.0,[4],2412000.0
207,-73.0,[4],2412000.0
TP-LINK 215,-71.0,[4],2412000.0
211,-65.0,[4],2412000.0
,,,
214 ,-71.0,[4],2472000.0
TP-LINK_21B6,-55.0,[4],2467000.0
TP-LINK_32AD,-71.0,[4],2462000.0
D19_238,-72.0,[4],2462000.0
TP-LINK_359E,-81.0,[4],2437000.0
dorm-227,-72.0,[4],2437000.0
TP-LINK_F6EA,-55.0,[4],2437000.0
D19_213,-67.0,[4],2432000.0
330,-70.0,[4],2422000.0
D19-314,-76.0,[4],2422000.0
313ä¸ç¨,-69.0,[4],2417000.0
Viva La Vida,-68.0,[4],2417000.0
TP-LINK_555E,-64.0,[4],2412000.0
211,-70.0,[4],2412000.0
TP-LINK 215,-70.0,[4],2412000.0
,,,
TP-LINK_359E,-81.0,[4],2437000.0
dorm-227,-72.0,[4],2437000.0
TP-LINK_F6EA,-55.0,[4],2437000.0
D19_213,-67.0,[4],2432000.0
330,-70.0,[4],2422000.0
D19-314,-76.0,[4],2422000.0
313ä¸ç¨,-69.0,[4],2417000.0
Viva La Vida,-68.0,[4],2417000.0
TP-LINK_555E,-64.0,[4],2412000.0
211,-70.0,[4],2412000.0
TP-LINK 215,-70.0,[4],2412000.0
,,,
214 ,-79.0,[4],2472000.0
ä½ ç¸ç¸,-73.0,[4],2472000.0
dorm228,-80.0,[4],2467000.0
TP-LINK_21B6,-58.0,[4],2467000.0
D19_238,-73.0,[4],2462000.0
äºæ³å¯ä¹¦,-87.0,[4],2462000.0
332fuck,-81.0,[4],2442000.0
dorm-227,-72.0,[4],2437000.0
dorm529,-75.0,[4],2437000.0
TP-LINK_F6EA,-56.0,[4],2437000.0
D19_213,-68.0,[4],2432000.0
330,-75.0,[4],2422000.0
D19-314,-73.0,[4],2422000.0
Viva La Vida,-71.0,[4],2417000.0
313ä¸ç¨,-73.0,[4],2417000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-73.0,[4],2412000.0
TP-LINK_555E,-68.0,[4],2412000.0
TP-LINK 215,-66.0,[4],2412000.0
211,-69.0,[4],2412000.0
,,,
332fuck,-81.0,[4],2442000.0
dorm-227,-72.0,[4],2437000.0
dorm529,-75.0,[4],2437000.0
TP-LINK_F6EA,-56.0,[4],2437000.0
